feature_id,name,type,values,missing_token
f_e_57_v_123,Does the pain radiate to another location? [nowhere],binary,"[""yes"", ""no""]",unknown
f_e_57_v_39,Does the pain radiate to another location? [thoracic spine],binary,"[""yes"", ""no""]",unknown
f_e_57_v_30,Does the pain radiate to another location? [biceps(R)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_194,Does the pain radiate to another location? [shoulder(R)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_31,Does the pain radiate to another location? [biceps(L)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_195,Does the pain radiate to another location? [shoulder(L)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_33,Does the pain radiate to another location? [thyroid cartilage],binary,"[""yes"", ""no""]",unknown
f_e_57_v_170,Does the pain radiate to another location? [posterior chest wall(R)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_127,Does the pain radiate to another location? [scapula(R)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_128,Does the pain radiate to another location? [scapula(L)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_171,Does the pain radiate to another location? [posterior chest wall(L)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_167,Does the pain radiate to another location? [temple(L)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_163,Does the pain radiate to another location? [under the jaw],binary,"[""yes"", ""no""]",unknown
f_e_57_v_166,Does the pain radiate to another location? [temple(R)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_89,Does the pain radiate to another location? [forehead],binary,"[""yes"", ""no""]",unknown
f_e_57_v_25,Does the pain radiate to another location? [back of head],binary,"[""yes"", ""no""]",unknown
f_e_57_v_122,Does the pain radiate to another location? [nose],binary,"[""yes"", ""no""]",unknown
f_e_57_v_101,Does the pain radiate to another location? [upper chest],binary,"[""yes"", ""no""]",unknown
f_e_57_v_56,Does the pain radiate to another location? [side of the chest(L)],binary,"[""yes"", ""no""]",unknown
f_e_57_v_55,Does the pain radiate to another location? [side of the chest(R)],binary,"[""yes"", ""no""]",unknown
f_e_54_v_161,Characterize your pain: [sensitive],binary,"[""yes"", ""no""]",unknown
f_e_54_v_192,Characterize your pain: [sharp],binary,"[""yes"", ""no""]",unknown
f_e_54_v_179,Characterize your pain: [a knife stroke],binary,"[""yes"", ""no""]",unknown
f_e_54_v_181,Characterize your pain: [burning],binary,"[""yes"", ""no""]",unknown
f_e_54_v_183,Characterize your pain: [heavy],binary,"[""yes"", ""no""]",unknown
f_e_54_v_154,Characterize your pain: [tedious],binary,"[""yes"", ""no""]",unknown
f_e_54_v_198,Characterize your pain: [exhausting],binary,"[""yes"", ""no""]",unknown
f_e_54_v_180,Characterize your pain: [tugging],binary,"[""yes"", ""no""]",unknown
f_e_54_v_182,Characterize your pain: [a cramp],binary,"[""yes"", ""no""]",unknown
f_e_54_v_112,Characterize your pain: [haunting],binary,"[""yes"", ""no""]",unknown
f_e_54_v_193,Characterize your pain: [sickening],binary,"[""yes"", ""no""]",unknown
f_e_54_v_191,Characterize your pain: [violent],binary,"[""yes"", ""no""]",unknown
f_e_54_v_196,Characterize your pain: [scary],binary,"[""yes"", ""no""]",unknown
f_e_54_v_184,Characterize your pain: [a pulse],binary,"[""yes"", ""no""]",unknown
f_e_54_v_71,Characterize your pain: [heartbreaking],binary,"[""yes"", ""no""]",unknown
f_e_54_v_11,Characterize your pain: [NA],binary,"[""yes"", ""no""]",unknown
f_e_59,How fast did the pain appear?,categorical,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, ""absent""]",unknown
f_e_56,How intense is the pain?,categorical,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, ""absent""]",unknown
f_e_58,How precisely is the pain located?,categorical,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, ""absent""]",unknown
f_e_159,Did you lose consciousness?,binary,"[""yes"", ""no""]",unknown
f_e_133_v_26,Where is the affected region located? [back of the neck],binary,"[""yes"", ""no""]",unknown
f_e_133_v_33,Where is the affected region located? [thyroid cartilage],binary,"[""yes"", ""no""]",unknown
f_e_133_v_31,Where is the affected region located? [biceps(L)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_32,Where is the affected region located? [mouth],binary,"[""yes"", ""no""]",unknown
f_e_133_v_30,Where is the affected region located? [biceps(R)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_123,Where is the affected region located? [nowhere],binary,"[""yes"", ""no""]",unknown
f_e_133_v_34,Where is the affected region located? [ankle(R)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_96,Where is the affected region located? [labia majora(L)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_91,Where is the affected region located? [upper gum],binary,"[""yes"", ""no""]",unknown
f_e_133_v_95,Where is the affected region located? [labia majora(R)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_90,Where is the affected region located? [lower gum],binary,"[""yes"", ""no""]",unknown
f_e_133_v_110,Where is the affected region located? [internal cheek(R)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_35,Where is the affected region located? [ankle(L)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_38,Where is the affected region located? [cervical spine],binary,"[""yes"", ""no""]",unknown
f_e_133_v_111,Where is the affected region located? [internal cheek(L)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_53,Where is the affected region located? [side of the neck(R)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_54,Where is the affected region located? [side of the neck(L)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_197,Where is the affected region located? [epigastric],binary,"[""yes"", ""no""]",unknown
f_e_133_v_87,Where is the affected region located? [iliac fossa(R)],binary,"[""yes"", ""no""]",unknown
f_e_133_v_88,Where is the affected region located? [iliac fossa(L)],binary,"[""yes"", ""no""]",unknown
f_e_129,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",binary,"[""yes"", ""no""]",unknown
f_e_130,What color is the rash?,categorical,"[""not_applicable"", ""dark"", ""yellow"", ""pale"", ""pink"", ""red"", ""absent""]",unknown
f_e_134,How intense is the pain caused by the rash?,categorical,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, ""absent""]",unknown
f_e_132,Is the rash swollen?,categorical,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, ""absent""]",unknown
f_e_136,How severe is the itching?,categorical,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, ""absent""]",unknown
f_e_135,Is the lesion (or are the lesions) larger than 1cm?,categorical,"[""no"", ""yes"", ""absent""]",unknown
f_e_131,Do your lesions peel off?,categorical,"[""no"", ""yes"", ""absent""]",unknown
f_e_154,Is your skin much paler than usual?,binary,"[""yes"", ""no""]",unknown
f_e_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",binary,"[""yes"", ""no""]",unknown
f_e_210,Have you recently thrown up blood or something resembling coffee beans?,binary,"[""yes"", ""no""]",unknown
f_e_140,Have you recently had stools that were black (like coal)?,binary,"[""yes"", ""no""]",unknown
f_e_51,Have you had diarrhea or an increase in stool frequency?,binary,"[""yes"", ""no""]",unknown
f_e_75,Do you feel like you are (or were) choking or suffocating?,binary,"[""yes"", ""no""]",unknown
f_e_89,Do you constantly feel fatigued or do you have non-restful sleep?,binary,"[""yes"", ""no""]",unknown
f_e_114,Are you more irritable or has your mood been very unstable recently?,binary,"[""yes"", ""no""]",unknown
f_e_82,Do you feel lightheaded and dizzy or do you feel like you are about to faint?,binary,"[""yes"", ""no""]",unknown
f_e_148,Are you feeling nauseous or do you feel like vomiting?,binary,"[""yes"", ""no""]",unknown
f_e_94,Have you had chills or shivers?,binary,"[""yes"", ""no""]",unknown
f_e_220,Do you have pain that is increased when you breathe in deeply?,binary,"[""yes"", ""no""]",unknown
f_e_161,Have you recently had a loss of appetite or do you get full more quickly then usually?,binary,"[""yes"", ""no""]",unknown
f_e_179,Have you noticed light red blood or blood clots in your stool?,binary,"[""yes"", ""no""]",unknown
f_e_162,Have you had an involuntary weight loss over the last 3 months?,binary,"[""yes"", ""no""]",unknown
f_e_173,"Do you have a burning sensation that starts in your stomach then goes up into your throat, and can be associated with a bitter taste in your mouth?",binary,"[""yes"", ""no""]",unknown
f_e_33,Do you have pain that improves when you lean forward?,binary,"[""yes"", ""no""]",unknown
f_e_218,Do you have symptoms that are increased with physical exertion but alleviated with rest?,binary,"[""yes"", ""no""]",unknown
f_e_93,"Do you have numbness, loss of sensation or tingling in the feet?",binary,"[""yes"", ""no""]",unknown
f_e_66,Are you experiencing shortness of breath or difficulty breathing in a significant way?,binary,"[""yes"", ""no""]",unknown
f_e_163,Have you had any vaginal discharge?,binary,"[""yes"", ""no""]",unknown
f_e_30,Do you feel your abdomen is bloated or distended (swollen due to pressure from inside)?,binary,"[""yes"", ""no""]",unknown
f_e_127,Do you feel that your eyes produce excessive tears?,binary,"[""yes"", ""no""]",unknown
f_e_181,Do you have nasal congestion or a clear runny nose?,binary,"[""yes"", ""no""]",unknown
f_e_88,Do you feel so tired that you are unable to do your usual activities or are you stuck in your bed all day long?,binary,"[""yes"", ""no""]",unknown
f_e_43,Have you lost consciousness associated with violent and sustained muscle contractions or had an absence episode?,binary,"[""yes"", ""no""]",unknown
f_e_156,"Have you had weakness or paralysis on one side of the face, which may still be present or completely resolved?",binary,"[""yes"", ""no""]",unknown
f_e_144,Do you have diffuse (widespread) muscle pain?,binary,"[""yes"", ""no""]",unknown
f_e_216,Do you have pain that is increased with movement?,binary,"[""yes"", ""no""]",unknown
f_e_201,Do you have a cough?,binary,"[""yes"", ""no""]",unknown
f_e_217,Are your symptoms worse when lying down and alleviated while sitting up?,binary,"[""yes"", ""no""]",unknown
f_e_215,Do you have symptoms that get worse after eating?,binary,"[""yes"", ""no""]",unknown
f_e_64,Do you feel out of breath with minimal physical effort?,binary,"[""yes"", ""no""]",unknown
f_e_96,Have you gained weight recently?,binary,"[""yes"", ""no""]",unknown
f_ant_e_16,Do you feel anxious?,binary,"[""yes"", ""no""]",unknown
f_e_50,Have you had significantly increased sweating?,binary,"[""yes"", ""no""]",unknown
f_e_97,Do you have a sore throat?,binary,"[""yes"", ""no""]",unknown
f_e_9,Do you have swollen or painful lymph nodes?,binary,"[""yes"", ""no""]",unknown
f_e_76,Do you feel slightly dizzy or lightheaded?,binary,"[""yes"", ""no""]",unknown
f_ant_e_102,Are you consulting because you have high blood pressure?,binary,"[""yes"", ""no""]",unknown
f_e_65,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",binary,"[""yes"", ""no""]",unknown
f_e_74,Have you noticed a diffuse (widespread) redness in one or both eyes?,binary,"[""yes"", ""no""]",unknown
f_e_205,Do you suddenly have difficulty or an inability to open your mouth or have jaw pain when opening it?,binary,"[""yes"", ""no""]",unknown
f_e_63,Do you have difficulty articulating words/speaking?,binary,"[""yes"", ""no""]",unknown
f_e_128,Have you ever felt like you were suffocating for a very short time associated with inability to breathe or speak?,binary,"[""yes"", ""no""]",unknown
f_e_190,Have you noticed that you produce more saliva than usual?,binary,"[""yes"", ""no""]",unknown
f_e_39,Have you felt confused or disorientated lately?,binary,"[""yes"", ""no""]",unknown
f_e_212,"Have you noticed that the tone of your voice has become deeper, softer or hoarse?",binary,"[""yes"", ""no""]",unknown
f_e_206,Do you have painful mouth ulcers or sores?,binary,"[""yes"", ""no""]",unknown
f_e_52,Do you have the perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision)?,binary,"[""yes"", ""no""]",unknown
f_e_203,Do you have intense coughing fits?,binary,"[""yes"", ""no""]",unknown
f_e_38,Do you have pain or weakness in your jaw?,binary,"[""yes"", ""no""]",unknown
f_e_172,Do you have a hard time opening/raising one or both eyelids?,binary,"[""yes"", ""no""]",unknown
f_e_84,Do you feel weakness in both arms and/or both legs?,binary,"[""yes"", ""no""]",unknown
f_e_90,Do your symptoms of muscle weakness increase with fatigue and/or stress?,binary,"[""yes"", ""no""]",unknown
f_e_211,Have you vomited several times or have you made several efforts to vomit?,binary,"[""yes"", ""no""]",unknown
f_e_166,Did you vomit after coughing?,binary,"[""yes"", ""no""]",unknown
f_e_112,Do you wheeze while inhaling or is your breathing noisy after coughing spells?,binary,"[""yes"", ""no""]",unknown
f_e_178,Have you noticed any unusual bleeding or bruising related to your consultation today?,binary,"[""yes"", ""no""]",unknown
f_e_152_v_34,Where is the swelling located? [ankle(R)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_35,Where is the swelling located? [ankle(L)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_119,Where is the swelling located? [calf(R)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_120,Where is the swelling located? [calf(L)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_52,Where is the swelling located? [thigh(L)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_72,Where is the swelling located? [dorsal aspect of the foot(R)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_51,Where is the swelling located? [thigh(R)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_122,Where is the swelling located? [nose],binary,"[""yes"", ""no""]",unknown
f_e_152_v_89,Where is the swelling located? [forehead],binary,"[""yes"", ""no""]",unknown
f_e_152_v_108,Where is the swelling located? [cheek(R)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_109,Where is the swelling located? [cheek(L)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_73,Where is the swelling located? [dorsal aspect of the foot(L)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_172,Where is the swelling located? [tibia(R)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_123,Where is the swelling located? [nowhere],binary,"[""yes"", ""no""]",unknown
f_e_152_v_24,Where is the swelling located? [posterior aspect of the ankle(L)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_23,Where is the swelling located? [posterior aspect of the ankle(R)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_173,Where is the swelling located? [tibia(L)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_149,Where is the swelling located? [sole(R)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_150,Where is the swelling located? [sole(L)],binary,"[""yes"", ""no""]",unknown
f_e_152_v_43,Where is the swelling located? [lateral side of the foot(R)],binary,"[""yes"", ""no""]",unknown
f_e_151,Do you have swelling in one or more areas of your body?,binary,"[""yes"", ""no""]",unknown
f_e_45,Have you been coughing up blood?,binary,"[""yes"", ""no""]",unknown
f_e_194,Have you noticed a high pitched sound when breathing in?,binary,"[""yes"", ""no""]",unknown
f_e_83,Have you noticed weakness in your facial muscles and/or eyes?,binary,"[""yes"", ""no""]",unknown
f_e_157,"Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?",binary,"[""yes"", ""no""]",unknown
f_e_176,"Did you previously, or do you currently, have any weakness/paralysis in one or more of your limbs or in your face?",binary,"[""yes"", ""no""]",unknown
f_e_42,Have you been in contact with or ate something that you have an allergy to?,binary,"[""yes"", ""no""]",unknown
f_e_214,Have you noticed a wheezing sound when you exhale?,binary,"[""yes"", ""no""]",unknown
f_e_150,Have you been able to pass stools or gas since your symptoms increased?,binary,"[""yes"", ""no""]",unknown
f_e_32,Do you have a decrease in appetite?,binary,"[""yes"", ""no""]",unknown
f_e_221,"Are the symptoms or pain increased with coughing, with an effort like lifting a weight or from forcing a bowel movement?",binary,"[""yes"", ""no""]",unknown
f_e_202,Does the person have a whooping cough?,binary,"[""yes"", ""no""]",unknown
f_e_219,Are your symptoms more prominent at night?,binary,"[""yes"", ""no""]",unknown
f_ant_e_196,Have you had surgery within the last month?,binary,"[""yes"", ""no""]",unknown
f_e_170,Do you have severe itching in one or both eyes?,binary,"[""yes"", ""no""]",unknown
f_e_77,Do you have a cough that produces colored or more abundant sputum than usual?,binary,"[""yes"", ""no""]",unknown
f_e_13,Do you find that your symptoms have worsened over the last 2 weeks and that progressively less effort is required to cause the symptoms?,binary,"[""yes"", ""no""]",unknown
f_e_14,Do you have chest pain even at rest?,binary,"[""yes"", ""no""]",unknown
f_e_169,Is your nose or the back of your throat itchy?,binary,"[""yes"", ""no""]",unknown
f_e_177,"Do you currently, or did you ever, have numbness, loss of sensitivity or tingling anywhere on your body?",binary,"[""yes"", ""no""]",unknown
f_e_175,"Have you noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in your general well-being related to your consultation today?",binary,"[""yes"", ""no""]",unknown
f_e_174,Have you been unintentionally losing weight or have you lost your appetite?,binary,"[""yes"", ""no""]",unknown
f_e_145,Do you have very abundant or very long menstruation periods?,binary,"[""yes"", ""no""]",unknown
f_e_92,Did your cheeks suddenly turn red?,binary,"[""yes"", ""no""]",unknown
f_e_192,Do you feel that muscle spasms or soreness in your neck are keeping you from turning your head to one side?,binary,"[""yes"", ""no""]",unknown
f_e_188,Do you have pale stools and dark urine?,binary,"[""yes"", ""no""]",unknown
f_e_164,Do you feel your heart is beating very irregularly or in a disorganized pattern?,binary,"[""yes"", ""no""]",unknown
f_e_193,"Do you have annoying muscle spasms in your face, neck or any other part of your body?",binary,"[""yes"", ""no""]",unknown
f_e_168,Do you have trouble keeping your tongue in your mouth?,binary,"[""yes"", ""no""]",unknown
f_e_180,Are you unable to control the direction of your eyes?,binary,"[""yes"", ""no""]",unknown
f_e_67,Do you have bouts of choking or shortness of breath that wake you up at night?,binary,"[""yes"", ""no""]",unknown
f_ant_e_78,Do you drink alcohol excessively or do you have an addiction to alcohol?,binary,"[""yes"", ""no""]",unknown
f_ant_e_146,Are you taking any new oral anticoagulants ((NOACs)?,binary,"[""yes"", ""no""]",unknown
f_e_171,Do you feel like you are detached from your own body or your surroundings?,binary,"[""yes"", ""no""]",unknown
f_e_111,Do you feel like you are dying or were you afraid that you were about do die?,binary,"[""yes"", ""no""]",unknown
f_e_182,Do you have greenish or yellowish nasal discharge?,binary,"[""yes"", ""no""]",unknown
f_e_103,Have you lost your sense of smell?,binary,"[""yes"", ""no""]",unknown
f_e_23,Do you ever temporarily stop breathing while you’re asleep?,binary,"[""yes"", ""no""]",unknown
f_ant_e_105,Have you ever had a heart attack or do you have angina (chest pain)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_108,Do you have a problem with poor circulation?,binary,"[""yes"", ""no""]",unknown
f_ant_e_104,Do you have high blood pressure or do you take medications to treat high blood pressure?,binary,"[""yes"", ""no""]",unknown
f_ant_e_79,Do you smoke cigarettes?,binary,"[""yes"", ""no""]",unknown
f_ant_e_71,Do you have high cholesterol or do you take medications to treat high cholesterol?,binary,"[""yes"", ""no""]",unknown
f_ant_e_41,Have you been in contact with a person with similar symptoms in the past 2 weeks?,binary,"[""yes"", ""no""]",unknown
f_ant_e_100,Do you currently take hormones?,binary,"[""yes"", ""no""]",unknown
f_ant_e_69,Do you have diabetes?,binary,"[""yes"", ""no""]",unknown
f_ant_e_167,Do you think you are pregnant or are you currently pregnant?,binary,"[""yes"", ""no""]",unknown
f_ant_e_115,Have you had unprotected sex with more than one partner in the last 6 months?,binary,"[""yes"", ""no""]",unknown
f_ant_e_70,Are you significantly overweight compared to people of the same height as you?,binary,"[""yes"", ""no""]",unknown
f_ant_e_10,Are you currently taking or have you recently taken anti-inflammatory drugs (NSAIDs)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_165,Have any of your family members ever had a pneumothorax?,binary,"[""yes"", ""no""]",unknown
f_ant_e_8,Do you currently undergo dialysis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_25,Have any of your family members been diagnosed with cluster headaches?,binary,"[""yes"", ""no""]",unknown
f_ant_e_184,Do you take medication that dilates your blood vessels?,binary,"[""yes"", ""no""]",unknown
f_ant_e_185,Have you ever had a head trauma?,binary,"[""yes"", ""no""]",unknown
f_ant_e_99,Have you ever had a migraine or is a member of your family known to have migraines?,binary,"[""yes"", ""no""]",unknown
f_ant_e_107,Have you ever had a stroke?,binary,"[""yes"", ""no""]",unknown
f_ant_e_226,Are you more likely to develop common allergies than the general population?,binary,"[""yes"", ""no""]",unknown
f_ant_e_62,Do you regularly take stimulant drugs?,binary,"[""yes"", ""no""]",unknown
f_ant_e_49,Do you attend or work in a daycare?,binary,"[""yes"", ""no""]",unknown
f_ant_e_95,Do you have Parkinson’s disease?,binary,"[""yes"", ""no""]",unknown
f_ant_e_204,Have you traveled out of the country in the last 4 weeks?,categorical,"[""no"", ""North Africa"", ""West Africa"", ""South Africa"", ""Central America"", ""North America"", ""South America"", ""Asia"", ""South East Asia"", ""Caraibes"", ""Europe"", ""Oceania"", ""absent""]",unknown
f_ant_e_37,Do you have metastatic cancer?,binary,"[""yes"", ""no""]",unknown
f_ant_e_153,Are you being treated for osteoporosis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,binary,"[""yes"", ""no""]",unknown
f_ant_e_98,Do you have a hiatal hernia?,binary,"[""yes"", ""no""]",unknown
f_ant_e_116,Have you had a cold in the last 2 weeks?,binary,"[""yes"", ""no""]",unknown
f_ant_e_48,Do you live with 4 or more people?,binary,"[""yes"", ""no""]",unknown
f_ant_e_2,Are you infected with the human immunodeficiency virus (HIV)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_227,Are you immunosuppressed?,binary,"[""yes"", ""no""]",unknown
f_ant_e_61,Are you currently using intravenous drugs?,binary,"[""yes"", ""no""]",unknown
f_ant_e_47,Do you suffer from Crohn’s disease or ulcerative colitis (UC)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_27,Have you ever had a sexually transmitted infection?,binary,"[""yes"", ""no""]",unknown
f_ant_e_143,"Do you exercise regularly, 4 times per week or more?",binary,"[""yes"", ""no""]",unknown
f_ant_e_191,Are you a former smoker?,binary,"[""yes"", ""no""]",unknown
f_ant_e_208,"Is your BMI less than 18.5, or are you underweight?",binary,"[""yes"", ""no""]",unknown
f_ant_e_126,Do you have liver cirrhosis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_189,Have you had sexual intercourse with an HIV-positive partner in the past 12 months?,binary,"[""yes"", ""no""]",unknown
f_ant_e_7,Do you have a poor diet?,binary,"[""yes"", ""no""]",unknown
f_ant_e_24,Have you ever had a diagnosis of anemia?,binary,"[""yes"", ""no""]",unknown
f_ant_e_26,Do you have any family members who have been diagnosed with anemia?,binary,"[""yes"", ""no""]",unknown
f_ant_e_113,Do you have chronic kidney failure?,binary,"[""yes"", ""no""]",unknown
f_ant_e_160,Were you born prematurely or did you suffer any complication at birth?,binary,"[""yes"", ""no""]",unknown
f_ant_e_28,Are there any members of your family who have been diagnosed myasthenia gravis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_20,Do you have Rheumatoid Arthritis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_80,Have you ever been diagnosed with depression?,binary,"[""yes"", ""no""]",unknown
f_ant_e_40,Have you been in contact with someone who has had pertussis (whoooping cough)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_0,Have you recently had a viral infection?,binary,"[""yes"", ""no""]",unknown
f_ant_e_1,Are you currently being treated or have you recently been treated with an oral antibiotic for an ear infection?,binary,"[""yes"", ""no""]",unknown
f_ant_e_34,Do you have an active cancer?,binary,"[""yes"", ""no""]",unknown
f_ant_e_209,Are your vaccinations up to date?,binary,"[""yes"", ""no""]",unknown
f_ant_e_139,Do you have a known heart defect?,binary,"[""yes"", ""no""]",unknown
f_ant_e_19,Have you been diagnosed with hyperthyroidism?,binary,"[""yes"", ""no""]",unknown
f_ant_e_31,Do you have severe Chronic Obstructive Pulmonary Disease (COPD)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_22,Do you have a known issue with one of your heart valves?,binary,"[""yes"", ""no""]",unknown
f_ant_e_60,Do you consume energy drinks regularly?,binary,"[""yes"", ""no""]",unknown
f_ant_e_35,Do you regularly drink coffee or tea?,binary,"[""yes"", ""no""]",unknown
f_ant_e_213,Have you recently taken decongestants or other substances that may have stimulant effects?,binary,"[""yes"", ""no""]",unknown
f_ant_e_12,Do you have a known severe food allergy?,binary,"[""yes"", ""no""]",unknown
f_ant_e_44,Do you take corticosteroids?,binary,"[""yes"", ""no""]",unknown
f_ant_e_4,Have you or any member of your family ever had croup?,binary,"[""yes"", ""no""]",unknown
f_ant_e_81,Do you suffer from chronic anxiety?,binary,"[""yes"", ""no""]",unknown
f_ant_e_109,Have you ever had deep vein thrombosis (DVT)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_110,Have you been unable to move or get up for more than 3 consecutive days within the last 4 weeks?,binary,"[""yes"", ""no""]",unknown
f_ant_e_17,Are you of Asian descent?,binary,"[""yes"", ""no""]",unknown
f_ant_e_18,Do you have cystic fibrosis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_118,Have you ever had pneumonia?,binary,"[""yes"", ""no""]",unknown
f_ant_e_123,Do you have a chronic obstructive pulmonary disease (COPD)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_207,Do you live in in a big city?,binary,"[""yes"", ""no""]",unknown
f_ant_e_86,"Do you have any close family members who suffer from allergies (any type), hay fever or eczema?",binary,"[""yes"", ""no""]",unknown
f_ant_e_87,Do you have any family members who have asthma?,binary,"[""yes"", ""no""]",unknown
f_ant_e_141,Did you have your first menstrual period before the age of 12?,binary,"[""yes"", ""no""]",unknown
f_ant_e_11,Have you breastfed one of your children for more than 9 months?,binary,"[""yes"", ""no""]",unknown
f_ant_e_186,Have you ever been diagnosed with obstructive sleep apnea (OSA)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_106,Do you have heart failure?,binary,"[""yes"", ""no""]",unknown
f_ant_e_158,Were you diagnosed with endocrine disease or a hormone dysfunction?,binary,"[""yes"", ""no""]",unknown
